,A,group,Observed Y,distance,model,run_number
161,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.345076473266521,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
162,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,3.027022592353883,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
163,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4821978937641056,"$X_1, X_2,$
$Z_{A'}, Z_A$",0
164,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4028117560908635,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
165,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.261907970284195,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
166,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.9817184241206496,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
167,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5835807774635464,"$X_1, X_2,$
$Z_{A'}, Z_A$",1
168,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.356860449024203,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
169,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3450253107859442,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
170,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.96948034795281,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
171,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5633038974184323,"$X_1, X_2,$
$Z_{A'}, Z_A$",2
172,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.361172171036525,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
173,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.480196870274065,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
174,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.975366158161626,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
175,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.589849190679484,"$X_1, X_2,$
$Z_{A'}, Z_A$",3
176,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.2850903436877954,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
177,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3804104616090385,"$X_1, X_2,$
$Z_{A'}, Z_A$",4
